t,vida
2.8502,992895.0
2.8668,992895.0
2.8837,992895.0
2.9004,992895.0
2.9171,992895.0
2.9340,992895.0
2.9506,992895.0
2.9669,992895.0
2.9839,992895.0
3.0006,992890.0
3.0173,992890.0
3.0337,992885.0
3.0504,992885.0
3.0669,992885.0
3.0835,992885.0
3.1002,992880.0
3.1168,992880.0
3.1337,992880.0
3.1501,992880.0
3.1672,992880.0
3.1837,992880.0
3.2005,992880.0
3.2169,992880.0
3.2335,992875.0
3.2502,992875.0
3.2675,992875.0
3.2836,992875.0
3.3003,992870.0
3.3171,992870.0
3.3336,992870.0
3.3504,992870.0
3.3669,992865.0
3.3836,992865.0
3.4006,992865.0
3.4172,992865.0
3.4339,992860.0
3.4502,992860.0
3.4669,992855.0
3.4835,992855.0
3.5003,992850.0
3.5172,992850.0
3.5337,992850.0
3.5504,992850.0
3.5674,992850.0
3.5839,992850.0
3.6006,992845.0
3.6172,992845.0
3.6338,992845.0
3.6501,992845.0
3.6672,992840.0
3.6835,992840.0
3.7005,992840.0
3.7169,992840.0
3.7339,992840.0
3.7505,992840.0
3.7668,992840.0
3.7839,992840.0
3.8004,992835.0
3.8171,992835.0
3.8338,992835.0
3.8503,992835.0
3.8673,992835.0
3.8837,992835.0
3.9002,992835.0
3.9172,992835.0
3.9335,992835.0
3.9502,992835.0
3.9673,992835.0
3.9835,992835.0
4.0002,992835.0
4.0169,992835.0
4.0340,992830.0
4.0504,992830.0
4.0671,992830.0
4.0837,992830.0
4.1006,992825.0
4.1171,992825.0
4.1339,992825.0
4.1506,992825.0
4.1672,992825.0
4.1836,992825.0
4.2002,992825.0
4.2172,992825.0
4.2339,992825.0
4.2505,992825.0
4.2670,992825.0
4.2840,992825.0
4.3005,992820.0
4.3173,992820.0
4.3334,992820.0
4.3508,992820.0
4.3671,992820.0
4.3838,992820.0
4.4004,992820.0
4.4170,992820.0
4.4338,992815.0
4.4502,992815.0
4.4672,992815.0
4.4837,992815.0
4.5003,992815.0
4.5175,992815.0
4.5335,992815.0
4.5502,992815.0
4.5669,992815.0
4.5836,992815.0
4.6005,992815.0
4.6168,992815.0
4.6336,992810.0
4.6505,992810.0
4.6671,992810.0
4.6836,992810.0
4.7006,992810.0
4.7168,992810.0
4.7336,992810.0
4.7514,992810.0
4.7670,992805.0
4.7834,992805.0
4.8005,992805.0
4.8171,992805.0
4.8337,992800.0
4.8506,992800.0
4.8671,992800.0
4.8836,992800.0
4.9003,992800.0
4.9171,992800.0
4.9335,992800.0
4.9504,992800.0
4.9669,992800.0
4.9834,992800.0
5.0006,992800.0
5.0168,992800.0
5.0336,992800.0
5.0501,992800.0
5.0668,992800.0
5.0836,992800.0
5.1005,992800.0
5.1169,992800.0
5.1337,992800.0
5.1505,992800.0
5.1671,992800.0
5.1837,992800.0
5.2004,992800.0
5.2170,992800.0
5.2336,992800.0
5.2505,992800.0
5.2672,992800.0
5.2837,992800.0
5.3003,992800.0
5.3170,992800.0
5.3337,992800.0
5.3503,992800.0
5.3671,992800.0
5.3837,992800.0
5.4003,992800.0
5.4169,992800.0
5.4336,992800.0
5.4504,992800.0
5.4672,992800.0
5.4834,992800.0
5.5002,992800.0
5.5169,992800.0
5.5335,992800.0
5.5506,992800.0
5.5671,992800.0
5.5836,992800.0
5.6002,992800.0
5.6170,992800.0
5.6337,992795.0
5.6505,992795.0
5.6669,992795.0
5.6835,992795.0
5.7003,992790.0
5.7170,992790.0
5.7337,992790.0
5.7504,992790.0
5.7669,992790.0
5.7839,992790.0
5.8003,992790.0
5.8170,992790.0
5.8334,992785.0
5.8504,992785.0
5.8672,992785.0
5.8838,992785.0
5.9002,992780.0
5.9176,992780.0
5.9336,992780.0
5.9502,992780.0
5.9672,992775.0
5.9837,992775.0
6.0005,992775.0
6.0169,992775.0
6.0339,992770.0
6.0503,992770.0
6.0670,992770.0
6.0835,992770.0
6.1006,992765.0
6.1172,992765.0
6.1336,992765.0
6.1503,992765.0
6.1671,992760.0
6.1835,992760.0
6.2005,992760.0
6.2170,992760.0
6.2339,992760.0
6.2504,992760.0
6.2671,992760.0
6.2837,992760.0
6.3003,992760.0
6.3169,992760.0
6.3336,992760.0
6.3501,992760.0
6.3668,992760.0
6.3834,992760.0
6.4003,992760.0
6.4171,992760.0
6.4339,992760.0
6.4503,992760.0
6.4671,992760.0
6.4836,992760.0
6.5001,992760.0
6.5167,992760.0
6.5338,992760.0
6.5509,992760.0
6.5673,992760.0
6.5836,992760.0
6.6005,992760.0
6.6173,992760.0
6.6339,992760.0
6.6504,992760.0
6.6669,992755.0
6.6836,992755.0
6.7005,992755.0
6.7171,992755.0
6.7338,992750.0
6.7505,992750.0
6.7669,992750.0
6.7837,992750.0
6.8003,992750.0
6.8169,992750.0
6.8337,992750.0
6.8503,992750.0
6.8672,992750.0
6.8839,992750.0
6.9006,992750.0
6.9171,992750.0
6.9336,992750.0
6.9503,992750.0
6.9671,992750.0
6.9839,992750.0
7.0003,992750.0
7.0170,992750.0
7.0336,992750.0
7.0503,992750.0
7.0670,992750.0
7.0836,992750.0
7.1002,992750.0
7.1171,992750.0
7.1339,992750.0
7.1504,992750.0
7.1672,992750.0
7.1837,992750.0
7.2004,992750.0
7.2169,992750.0
7.2338,992750.0
7.2505,992750.0
7.2671,992750.0
7.2836,992750.0
7.3002,992750.0
7.3171,992750.0
7.3337,992750.0
7.3504,992750.0
7.3673,992750.0
7.3834,992750.0
7.4002,992750.0
7.4169,992750.0
7.4336,992750.0
7.4504,992750.0
7.4672,992750.0
7.4839,992750.0
7.5006,992750.0
7.5170,992750.0
7.5337,992750.0
7.5506,992750.0
7.5671,992750.0
7.5836,992750.0
7.6006,992750.0
7.6171,992750.0
7.6335,992750.0
7.6504,992750.0
7.6671,992750.0
7.6839,992750.0
7.7002,992750.0
7.7168,992750.0
7.7335,992750.0
7.7505,992750.0
7.7671,992750.0
7.7840,992750.0
7.8005,992750.0
7.8173,992750.0
7.8337,992750.0
7.8505,992750.0
7.8670,992750.0
7.8837,992750.0
7.9003,992750.0
7.9171,992750.0
7.9337,992750.0
7.9503,992750.0
7.9669,992750.0
7.9835,992750.0
8.0002,992750.0
8.0168,992750.0
8.0338,992750.0
8.0507,992750.0
8.0673,992750.0
8.0837,992750.0
8.1002,992750.0
8.1174,992750.0
8.1338,992750.0
8.1504,992750.0
8.1674,992750.0
8.1838,992750.0
8.2004,992750.0
8.2169,992750.0
8.2336,992745.0
8.2506,992745.0
8.2671,992745.0
8.2838,992745.0
8.3002,992740.0
8.3168,992740.0
8.3338,992740.0
8.3508,992740.0
8.3670,992735.0
8.3835,992735.0
8.4001,992735.0
8.4171,992735.0
8.4339,992730.0
8.4503,992730.0
8.4674,992730.0
8.4835,992730.0
8.5007,992730.0
8.5173,992730.0
8.5336,992730.0
8.5503,992730.0
8.5672,992730.0
8.5839,992730.0
8.6004,992730.0
8.6168,992730.0
8.6337,992730.0
8.6506,992730.0
8.6674,992730.0
8.6837,992730.0
8.7006,992730.0
8.7168,992730.0
8.7339,992730.0
8.7503,992725.0
8.7671,992725.0
8.7837,992725.0
8.8001,992720.0
8.8170,992720.0
8.8339,992720.0
8.8505,992720.0
8.8669,992720.0
8.8834,992720.0
8.9002,992720.0
8.9176,992720.0
8.9336,992715.0
8.9502,992715.0
8.9667,992715.0
8.9837,992715.0
9.0008,992715.0
9.0170,992715.0
9.0335,992715.0
9.0502,992715.0
9.0669,992710.0
9.0836,992710.0
9.1003,992710.0
9.1173,992710.0
9.1338,992705.0
9.1506,992705.0
9.1668,992705.0
9.1836,992705.0
9.2007,992705.0
9.2172,992705.0
9.2338,992705.0
9.2500,992705.0
9.2673,992705.0
9.2838,992705.0
9.3006,992705.0
9.3173,992705.0
9.3334,992705.0
9.3505,992705.0
9.3670,992705.0
9.3835,992705.0
9.4001,992705.0
9.4169,992705.0
9.4336,992705.0
9.4505,992705.0
9.4668,992700.0
9.4838,992700.0
9.5005,992700.0
9.5167,992700.0
9.5334,992700.0
9.5505,992700.0
9.5672,992700.0
9.5837,992700.0
9.6002,992700.0
9.6168,992700.0
9.6336,992700.0
9.6502,992700.0
9.6669,992700.0
9.6838,992700.0
9.7003,992700.0
9.7171,992700.0
9.7338,992700.0
9.7506,992700.0
9.7672,992700.0
9.7834,992700.0
9.8001,992700.0
9.8172,992700.0
9.8336,992700.0
9.8503,992700.0
9.8668,992700.0
9.8837,992700.0
9.9007,992700.0
9.9168,992700.0
9.9338,992700.0
