t,vida
3.8671,994905.0
3.8834,994905.0
3.9004,994800.0
3.9168,994800.0
3.9335,994800.0
3.9502,994800.0
3.9668,994695.0
3.9838,994695.0
4.0004,994695.0
4.0170,994695.0
4.0338,994590.0
4.0506,994590.0
4.0670,994590.0
4.0838,994590.0
4.1008,994485.0
4.1169,994485.0
4.1336,994485.0
4.1506,994485.0
4.1671,994485.0
4.1834,994485.0
4.2004,994485.0
4.2170,994485.0
4.2339,994485.0
4.2506,994485.0
4.2670,994485.0
4.2836,994485.0
4.3006,994485.0
4.3167,994485.0
4.3336,994485.0
4.3501,994485.0
4.3671,994380.0
4.3838,994380.0
4.4002,994380.0
4.4170,994380.0
4.4338,994380.0
4.4502,994380.0
4.4671,994380.0
4.4839,994380.0
4.5004,994380.0
4.5174,994380.0
4.5335,994380.0
4.5503,994380.0
4.5669,994380.0
4.5834,994380.0
4.6004,994380.0
4.6171,994380.0
4.6338,994380.0
4.6505,994380.0
4.6672,994380.0
4.6835,994380.0
4.7003,994380.0
4.7168,994380.0
4.7336,994380.0
4.7505,994380.0
4.7672,994275.0
4.7838,994275.0
4.8003,994275.0
4.8168,994275.0
4.8334,994275.0
4.8506,994275.0
4.8672,994275.0
4.8835,994275.0
4.9002,994170.0
4.9172,994170.0
4.9337,994170.0
4.9504,994170.0
4.9671,994170.0
4.9836,994170.0
5.0002,994170.0
5.0171,994170.0
5.0338,994170.0
5.0502,994170.0
5.0671,994170.0
5.0835,994170.0
5.1001,994170.0
5.1172,994170.0
5.1335,994170.0
5.1505,994170.0
5.1670,994170.0
5.1837,994170.0
5.2003,994170.0
5.2168,994170.0
5.2339,994170.0
5.2503,994170.0
5.2673,994170.0
5.2839,994170.0
5.3002,994170.0
5.3170,994170.0
5.3338,994170.0
5.3503,994170.0
5.3669,994065.0
5.3838,994065.0
5.4006,994065.0
5.4169,994065.0
5.4339,994065.0
5.4503,994065.0
5.4671,994065.0
5.4838,994065.0
5.5002,993960.0
5.5170,993960.0
5.5337,993960.0
5.5505,993960.0
5.5671,993960.0
5.5837,993960.0
5.6003,993960.0
5.6170,993960.0
5.6335,993960.0
5.6504,993960.0
5.6667,993960.0
5.6837,993960.0
5.7004,993855.0
5.7170,993855.0
5.7341,993855.0
5.7502,993855.0
5.7671,993750.0
5.7834,993750.0
5.8005,993750.0
5.8169,993750.0
5.8342,993750.0
5.8507,993750.0
5.8668,993750.0
5.8839,993750.0
5.9002,993645.0
5.9171,993645.0
5.9334,993645.0
5.9504,993645.0
5.9669,993540.0
5.9835,993540.0
6.0005,993540.0
6.0170,993540.0
6.0335,993540.0
6.0503,993540.0
6.0671,993540.0
6.0835,993540.0
6.1004,993540.0
6.1170,993540.0
6.1338,993540.0
6.1502,993540.0
6.1671,993540.0
6.1835,993540.0
6.2001,993540.0
6.2169,993540.0
6.2335,993540.0
6.2505,993540.0
6.2671,993540.0
6.2838,993540.0
6.3004,993540.0
6.3169,993540.0
6.3338,993540.0
6.3502,993540.0
6.3668,993540.0
6.3836,993540.0
6.4005,993540.0
6.4171,993540.0
6.4340,993540.0
6.4502,993540.0
6.4671,993540.0
6.4840,993540.0
6.5001,993540.0
6.5173,993540.0
6.5345,993540.0
6.5504,993540.0
6.5669,993435.0
